Evaluated At UTC,Evaluated At EPT,Forecast Hour Beginning UTC,Forecast Hour Beginning EPT,Forecast Area,Forecast Load MW
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,AEP,12851
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,AEP,12876
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,AEP,12876
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,AEP,12876
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,AEP,12781
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,APS,4668
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,APS,4695
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,APS,4695
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,APS,4695
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,APS,4668
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,COMED,9693
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,COMED,9767
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,COMED,9767
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,COMED,9767
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,COMED,9754
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DEOK,2571
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DEOK,2558
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DEOK,2558
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DEOK,2558
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DEOK,2524
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DOM,12445
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DOM,12557
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DOM,12557
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DOM,12557
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DOM,12325
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DAY,1668
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DAY,1653
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DAY,1653
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DAY,1653
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DAY,1605
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DUQ,1294
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DUQ,1299
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DUQ,1299
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DUQ,1299
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,DUQ,1342
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,EKPC,1304
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,EKPC,1303
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,EKPC,1303
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,EKPC,1303
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,EKPC,1273
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,ATSI,6539
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,ATSI,6494
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,ATSI,6494
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,ATSI,6494
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,ATSI,6630
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,MIDATL,26555
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,MIDATL,26469
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,MIDATL,26469
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,MIDATL,26469
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,MIDATL,27190
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,RTO,79588
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,RTO,79671
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,RTO,79671
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,RTO,79671
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T04:00:00,2024-07-02T00:00:00,RTO,80092
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,AEP,12259
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,AEP,12289
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,AEP,12289
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,AEP,12289
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,AEP,12231
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,APS,4472
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,APS,4502
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,APS,4502
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,APS,4502
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,APS,4459
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,COMED,9102
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,COMED,9178
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,COMED,9178
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,COMED,9178
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,COMED,9178
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DEOK,2419
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DEOK,2409
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DEOK,2409
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DEOK,2409
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DEOK,2375
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DOM,11846
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DOM,11945
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DOM,11945
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DOM,11945
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DOM,11771
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DAY,1573
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DAY,1564
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DAY,1564
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DAY,1564
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DAY,1519
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DUQ,1238
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DUQ,1241
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DUQ,1241
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DUQ,1241
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,DUQ,1278
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,EKPC,1216
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,EKPC,1213
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,EKPC,1213
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,EKPC,1213
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,EKPC,1202
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,ATSI,6264
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,ATSI,6234
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,ATSI,6234
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,ATSI,6234
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,ATSI,6330
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,MIDATL,25069
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,MIDATL,24953
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,MIDATL,24953
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,MIDATL,24953
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,MIDATL,25571
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,RTO,75458
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,RTO,75528
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,RTO,75528
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,RTO,75528
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,RTO,75914
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,AEP,11917
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,AEP,11950
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,AEP,11950
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,AEP,11950
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,AEP,11893
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,APS,4319
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,APS,4353
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,APS,4353
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,APS,4353
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,APS,4352
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,COMED,8699
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,COMED,8776
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,COMED,8776
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,COMED,8776
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,COMED,8802
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DEOK,2317
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DEOK,2313
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DEOK,2313
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DEOK,2313
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DEOK,2284
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DOM,11474
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DOM,11551
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DOM,11551
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DOM,11551
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DOM,11436
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DAY,1515
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DAY,1510
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DAY,1510
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DAY,1510
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DAY,1473
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DUQ,1201
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DUQ,1204
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DUQ,1204
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DUQ,1204
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DUQ,1230
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,EKPC,1170
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,EKPC,1166
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,EKPC,1166
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,EKPC,1166
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,EKPC,1157
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,ATSI,6107
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,ATSI,6080
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,ATSI,6080
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,ATSI,6080
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,ATSI,6144
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,MIDATL,24157
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,MIDATL,24045
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,MIDATL,24045
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,MIDATL,24045
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,MIDATL,24595
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,RTO,72876
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,RTO,72948
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,RTO,72948
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,RTO,72948
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,RTO,73366
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,AEP,11724
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,AEP,11755
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,AEP,11755
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,AEP,11755
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,AEP,11698
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,APS,4266
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,APS,4300
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,APS,4300
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,APS,4300
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,APS,4316
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,COMED,8412
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,COMED,8497
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,COMED,8497
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,COMED,8497
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,COMED,8601
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DEOK,2261
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DEOK,2260
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DEOK,2260
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DEOK,2260
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DEOK,2239
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DOM,11284
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DOM,11349
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DOM,11349
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DOM,11349
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DOM,11291
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DAY,1483
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DAY,1478
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DAY,1478
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DAY,1478
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DAY,1444
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DUQ,1182
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DUQ,1186
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DUQ,1186
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,DUQ,1186
